Sl. No,State,District,Assessment Unit  Name,Assessment Unit Type,Recharge Worthy Area(Ha),Total Annual  Ground Water (Ham) Recharge,Annual Extractable Ground Water Resource  (Ham),Total  Ground Water Extraction  (Ham),Stage of Ground Water  Extraction (%),Categorization
415,ANDHRA PRADESH,Parvathipuram Manyam,SALUR,BLOCK,24826.09,6021.12,5720.05,2858.47,49.97281492,Safe
416,ANDHRA PRADESH,Parvathipuram Manyam,BALIJIPETA,BLOCK,15925.9,13737.14,13050.23,1940.01,14.86571501,Safe
417,ANDHRA PRADESH,Parvathipuram Manyam,KURUPAM,BLOCK,29565.98,5905.18,5609.98,691.24,12.32161255,Safe
418,ANDHRA PRADESH,Parvathipuram Manyam,KOMARADA,BLOCK,25842.5539,5991.98,5692.33,3159.3,55.50099871,Safe
419,ANDHRA PRADESH,Parvathipuram Manyam,GUMMALAKSHMIPURAM,BLOCK,18470.9,3084.43,2930.21,169.74,5.792758881,Safe
420,ANDHRA PRADESH,Parvathipuram Manyam,PACHIPENTA,BLOCK,21932.6,3509.69,3334.17,1797.86,53.92226551,Safe
421,ANDHRA PRADESH,Parvathipuram Manyam,SEETHANAGARAM (MANYAM),BLOCK,14704.84,14639.44,13907.41,1645.52,11.83196584,Safe
422,ANDHRA PRADESH,Parvathipuram Manyam,PALAKONDA,BLOCK,10751.4,4016.41,3815.63,741.59,19.43558469,Safe
423,ANDHRA PRADESH,Parvathipuram Manyam,SEETHAMPETA,BLOCK,25671.7,4061.6,3858.47,504.11,13.06502318,Safe
424,ANDHRA PRADESH,Prakasam,PEDACHERLOPALLE,BLOCK,32183,2572.85,2444.22,1066.28,43.62455098,Safe
425,ANDHRA PRADESH,Prakasam,BESTAVARIPETA,BLOCK,27833,2727.69,2591.32,841.69,32.48112931,Safe
426,ANDHRA PRADESH,Prakasam,KONAKANAMITLA,BLOCK,45715,3715.71,3529.96,1224.8,34.69727702,Safe
427,ANDHRA PRADESH,Prakasam,PULLALACHERUVU,BLOCK,45103,2004.71,1904.46,3657.06,192.0260861,Over Exploited
428,ANDHRA PRADESH,Prakasam,CHADRASEKARAPURAM,BLOCK,32918,3324.82,3158.55,789.6,24.99881275,Safe
