Sl. No,State,District,Assessment Unit  Name,Assessment Unit Type,Recharge Worthy Area(Ha),Total Annual  Ground Water (Ham) Recharge,Annual Extractable Ground Water Resource  (Ham),Total  Ground Water Extraction  (Ham),Stage of Ground Water  Extraction (%),Categorization
605,ANDHRA PRADESH,Visakhapatnam,SEETHAMMADHARA,BLOCK,1225.543254,120.81,114.76,99.11,86.3628442,Semi Critical
606,ANDHRA PRADESH,Vizianagaram,GAJAPATHINAGARAM,BLOCK,14916.29,5352.1,5084.51,1347.95,26.51091256,Safe
607,ANDHRA PRADESH,Vizianagaram,PUSAPATIREGA,BLOCK,11904.16,7255.35,6892.59,3771.53,54.71861811,Safe
608,ANDHRA PRADESH,Vizianagaram,GARIVIDI,BLOCK,13673.19,4783.59,4544.44,1904.32,41.90439306,Safe
609,ANDHRA PRADESH,Vizianagaram,VIZIANAGARAM MANDAL,BLOCK,11679.49,4245.45,4033.17,492.67,12.21545335,Safe
610,ANDHRA PRADESH,Vizianagaram,MENTADA,BLOCK,24526.9,8701.99,8266.81,854.61,10.33784495,Safe
611,ANDHRA PRADESH,Vizianagaram,BOBBILI,BLOCK,20511.45,9138.19,8681.21,1361.83,15.68709892,Safe
612,ANDHRA PRADESH,Vizianagaram,RAJAM,BLOCK,12591,3744.26,3557.01,1005.19,28.25940889,Safe
613,ANDHRA PRADESH,Vizianagaram,REGIDIAMADALAVALASA,BLOCK,14866,4842.12,4600,1001.48,21.77130435,Safe
614,ANDHRA PRADESH,Vizianagaram,SANTHAKAVITI,BLOCK,14971,3032.24,2880.61,786.59,27.30636914,Safe
615,ANDHRA PRADESH,Vizianagaram,VANGARA,BLOCK,11048,2065.34,1962.05,561.35,28.610382,Safe
616,ANDHRA PRADESH,Vizianagaram,BADANGI,BLOCK,12240.15,5770.73,5482.17,1273.78,23.23495988,Safe
617,ANDHRA PRADESH,Vizianagaram,BHOGHAPURAM,BLOCK,11307.05,2041.46,1939.39,763.39,39.36237683,Safe
618,ANDHRA PRADESH,Vizianagaram,BONDAPALLE,BLOCK,16036.29,5821.35,5530.27,781.34,14.12842411,Safe
619,ANDHRA PRADESH,Vizianagaram,CHEEPURUPALLE,BLOCK,11957.12,4589.77,4360.28,2884.18,66.14666948,Safe
620,ANDHRA PRADESH,Vizianagaram,DATTIRAJERU,BLOCK,21132.09,5368.12,5099.74,1847.12,36.21988572,Safe
621,ANDHRA PRADESH,Vizianagaram,DENKADA,BLOCK,12605.82,4147.42,3940.04,1393.4,35.3651232,Safe
622,ANDHRA PRADESH,Vizianagaram,GANTYADA,BLOCK,18153.29,5724.84,5438.61,1214.18,22.32518971,Safe
623,ANDHRA PRADESH,Vizianagaram,GURLA,BLOCK,16625.99,4128.47,3922.01,1722.39,43.91600225,Safe
624,ANDHRA PRADESH,Vizianagaram,JAMI,BLOCK,14200.48,3141.49,2984.46,1266.31,42.43012136,Safe
625,ANDHRA PRADESH,Vizianagaram,KOTHAVALASA,BLOCK,13614.44,5144.06,4886.85,980.1,20.05586421,Safe
626,ANDHRA PRADESH,Vizianagaram,LAKKAVARAPUKOTA,BLOCK,12426.48,5692.11,5407.44,771.55,14.26830441,Safe
627,ANDHRA PRADESH,Vizianagaram,MERAKAMUDIDAM,BLOCK,16608.88,7853.31,7460.59,1447.25,19.39859984,Safe
628,ANDHRA PRADESH,Vizianagaram,NELLIMARLA,BLOCK,15230.24,5745.72,5458.38,1900.65,34.820771,Safe
629,ANDHRA PRADESH,Vizianagaram,RAMABHADRAPURAM,BLOCK,14762.32,4917.04,4671.22,1263.7,27.05288982,Safe
630,ANDHRA PRADESH,Vizianagaram,SRUNGAVARAPUKOTA,BLOCK,14312.25,6012.85,5712.25,1274.95,22.31957635,Safe
631,ANDHRA PRADESH,Vizianagaram,THERLAM,BLOCK,15631.55,6686.59,6352.22,1193.92,18.7953188,Safe
632,ANDHRA PRADESH,Vizianagaram,VEPADA,BLOCK,13647.15187,6797.58,6457.75,742.58,11.49905153,Safe
633,ANDHRA PRADESH,West Godavari,AKIVEEDU,BLOCK,12113,0,0,0,60.02154463,Salinity
634,ANDHRA PRADESH,West Godavari,UNDI,BLOCK,12921,0,0,0,60.02154463,Salinity
635,ANDHRA PRADESH,West Godavari,GANAPAVARAM,BLOCK,9995,0,0,0,60.02154463,Salinity
636,ANDHRA PRADESH,West Godavari,PALACOLE,BLOCK,8664.65,0,0,0,60.02154463,Salinity
637,ANDHRA PRADESH,West Godavari,VEERAVASARAM,BLOCK,8505,0,0,0,60.02154463,Salinity
638,ANDHRA PRADESH,West Godavari,ACHANTA,BLOCK,7474,7515.46,7139.66,1811.79,25.37641848,Safe
639,ANDHRA PRADESH,West Godavari,ATTILI,BLOCK,8593,8579.83,8150.82,207.83,2.549804805,Safe
640,ANDHRA PRADESH,West Godavari,BHEEMAVARAM,BLOCK,22485.92,0,0,0,60.02154463,Salinity
641,ANDHRA PRADESH,West Godavari,IRAGAVARAM,BLOCK,7934,8767.68,8329.31,536.21,6.437628087,Safe
642,ANDHRA PRADESH,West Godavari,KALLA,BLOCK,15703,0,0,0,60.02154463,Salinity
643,ANDHRA PRADESH,West Godavari,MOGALTHUR,BLOCK,13082,0,0,0,60.02154463,Salinity
644,ANDHRA PRADESH,West Godavari,NARASAPURAM,BLOCK,16355,0,0,0,60.02154463,Salinity
645,ANDHRA PRADESH,West Godavari,PALAKODERU,BLOCK,9233,0,0,0,60.02154463,Salinity
646,ANDHRA PRADESH,West Godavari,PENTAPADU,BLOCK,11633.94,0,0,0,60.02154463,Salinity
647,ANDHRA PRADESH,West Godavari,PENUGONDA,BLOCK,7193.31,7296.23,6931.42,57.99,0.836625107,Safe
648,ANDHRA PRADESH,West Godavari,PENUMANTRA,BLOCK,8211,8431.84,8010.28,27.78,0.346804356,Safe
649,ANDHRA PRADESH,West Godavari,PODURU,BLOCK,9204.18,0,0,0,60.02154463,Salinity
650,ANDHRA PRADESH,West Godavari,TADEPALLIGUDEM,BLOCK,21925,7300.94,6935.9,1329.93,19.17458441,Safe
651,ANDHRA PRADESH,West Godavari,TANUKU,BLOCK,7741,8036.89,7635.06,464.69,6.086265203,Safe
652,ANDHRA PRADESH,West Godavari,YELAMANCHILI,BLOCK,8870,0,0,0,60.02154463,Salinity
653,ANDHRA PRADESH,Y.S.R Kadapa,KHAJIPET,BLOCK,23956,2671.75,2538.18,1503.25,59.22550804,Safe
654,ANDHRA PRADESH,Y.S.R Kadapa,PRODDUTUR,BLOCK,17754.992,2394.22,2274.51,1147.29,50.44119393,Safe
655,ANDHRA PRADESH,Y.S.R Kadapa,LINGALA,BLOCK,27594,2464.47,2341.27,1535.72,65.59345996,Safe
656,ANDHRA PRADESH,Y.S.R Kadapa,CHINTHA KOMMADINNE,BLOCK,40976,3116.22,2960.39,860.42,29.06441381,Safe
657,ANDHRA PRADESH,Y.S.R Kadapa,MUDDANUR,BLOCK,29562,2528.58,2402.15,864.96,36.00774306,Safe
658,ANDHRA PRADESH,Y.S.R Kadapa,CHENNUR,BLOCK,13944,1199.7,1139.71,644.76,56.57228593,Safe
659,ANDHRA PRADESH,Y.S.R Kadapa,CUDDAPAH MANDAL,BLOCK,9179,716.29,680.48,323.76,47.57818011,Safe
660,ANDHRA PRADESH,Y.S.R Kadapa,RAJU PALEM,BLOCK,19769,3366,3197.7,436.44,13.6485599,Safe
661,ANDHRA PRADESH,Y.S.R Kadapa,KALASAPADU,BLOCK,39341,5625.09,5343.81,1650.55,30.88713858,Safe
662,ANDHRA PRADESH,Y.S.R Kadapa,S MYDUKUR,BLOCK,38554,3357.32,3189.44,2150.11,67.41340173,Safe
663,ANDHRA PRADESH,Y.S.R Kadapa,VONTIMITTA,BLOCK,25092,2712.22,2576.6,920.27,35.71644803,Safe
664,ANDHRA PRADESH,Y.S.R Kadapa,MYLAVARAM,BLOCK,37715,3309.6,3144.14,974.37,30.99003225,Safe
665,ANDHRA PRADESH,Y.S.R Kadapa,VALLUR,BLOCK,14448,1980.68,1881.65,913.91,48.56960646,Safe
666,ANDHRA PRADESH,Y.S.R Kadapa,CHAKNAYAPET,BLOCK,25958,2451.34,2328.74,1522.96,65.39845582,Safe
667,ANDHRA PRADESH,Y.S.R Kadapa,VEMULA,BLOCK,23086,1736.7,1649.87,1359.55,82.40346209,Semi Critical
668,ANDHRA PRADESH,Y.S.R Kadapa,VEMPALLE,BLOCK,17221,1759.34,1671.39,977.5,58.48425562,Safe
669,ANDHRA PRADESH,Y.S.R Kadapa,BRAHMAMGARIMATTAM,BLOCK,25947,4919.64,4673.65,1657.44,35.46350283,Safe
670,ANDHRA PRADESH,Y.S.R Kadapa,ATLUR,BLOCK,20014,1769.32,1680.87,664.58,39.53785837,Safe
671,ANDHRA PRADESH,Y.S.R Kadapa,B KODUR,BLOCK,12357,2461.96,2338.86,1136.78,48.60402076,Safe
672,ANDHRA PRADESH,Y.S.R Kadapa,BADVEL,BLOCK,16976,2950.07,2802.58,995.86,35.53368682,Safe
673,ANDHRA PRADESH,Y.S.R Kadapa,CHAPAD,BLOCK,12625,1318.79,1252.84,999.12,79.74841161,Semi Critical
674,ANDHRA PRADESH,Y.S.R Kadapa,DUVVUR,BLOCK,23886,2081.73,1977.63,1464.79,74.06795002,Semi Critical
675,ANDHRA PRADESH,Y.S.R Kadapa,GOPAVARAM,BLOCK,14473,1597.72,1517.82,372.8,24.56154221,Safe
676,ANDHRA PRADESH,Y.S.R Kadapa,JAMMALAMADUGU,BLOCK,28082,2641.68,2509.6,693.29,27.62551801,Safe
677,ANDHRA PRADESH,Y.S.R Kadapa,KAMALAPURAM,BLOCK,18442,3026.15,2874.83,1502.62,52.26813412,Safe
678,ANDHRA PRADESH,Y.S.R Kadapa,KONDAPURAM,BLOCK,36676,3144.91,2987.65,1646.07,55.09581109,Safe
679,ANDHRA PRADESH,Y.S.R Kadapa,PEDDAMUDIUM,BLOCK,29724,3997.76,3797.87,506.3,13.33115667,Safe
680,ANDHRA PRADESH,Y.S.R Kadapa,PENDLIMARRI,BLOCK,45290,5606.83,5326.48,1442.15,27.07510401,Safe
681,ANDHRA PRADESH,Y.S.R Kadapa,PORUMAMILLA,BLOCK,23092,3802.31,3612.19,1839.48,50.92423156,Safe
682,ANDHRA PRADESH,Y.S.R Kadapa,PULIVENDLA,BLOCK,16207,1529.99,1453.47,1189.03,81.80629803,Semi Critical
683,ANDHRA PRADESH,Y.S.R Kadapa,SIDHOUT,BLOCK,17695,2792.82,2653.18,1377.1,51.90375323,Safe
684,ANDHRA PRADESH,Y.S.R Kadapa,SIMHADRIPURAM,BLOCK,28781,7124.57,6768.31,1970.78,29.11775613,Safe
685,ANDHRA PRADESH,Y.S.R Kadapa,SRI AVADHUTHA KASINAYANA,BLOCK,29971,3291.59,3126.97,1509.7,48.27996431,Safe
686,ANDHRA PRADESH,Y.S.R Kadapa,THANDUR,BLOCK,23850,6294.14,5979.43,1167.27,19.52142596,Safe
687,ANDHRA PRADESH,Y.S.R Kadapa,VEERAPUNAYUNIPALLE,BLOCK,28807,2793.84,2654.13,818.27,30.83006484,Safe
688,ANDHRA PRADESH,Y.S.R Kadapa,YERRAGUNTLA,BLOCK,23763,2710.09,2574.56,703.01,27.30602511,Safe
689,ARUNACHAL PRADESH,CHANGLANG,Bordumsa,BLOCK,8549.667039,5841.46,5257.31,76.4,1.453214667,Safe
690,ARUNACHAL PRADESH,CHANGLANG,Changlang,BLOCK,3136.686196,2077.07,1869.36,1.01,0.054029186,Safe
691,ARUNACHAL PRADESH,CHANGLANG,Diyun,BLOCK,7622.611554,5094.81,4585.33,57.71,1.25857899,Safe
692,ARUNACHAL PRADESH,CHANGLANG,Khagam,BLOCK,25855.19466,16249.23,14624.31,103.38,0.706905146,Safe
693,ARUNACHAL PRADESH,CHANGLANG,Nampong,BLOCK,7835.840552,5350.92,4815.82,6.47,0.134348875,Safe
694,ARUNACHAL PRADESH,EAST KAMENG,Chayangtajo,BLOCK,6361.999932,5403.98,4863.59,5.02,0.103215937,Safe
695,ARUNACHAL PRADESH,EAST KAMENG,Pakke-Kessang,BLOCK,6151.327723,2954.73,2659.25,7.34,0.276017674,Safe
696,ARUNACHAL PRADESH,EAST KAMENG,Seijosa,BLOCK,14737.33826,6001.55,5401.4,15.19,0.281223387,Safe
697,ARUNACHAL PRADESH,EAST KAMENG,Seppa,BLOCK,3999.334089,3804.3,3423.87,80.91,2.363115422,Safe
698,ARUNACHAL PRADESH,EAST SIANG,Mebo,BLOCK,50854.24549,41546.64,37391.98,47.87,0.128022105,Safe
699,ARUNACHAL PRADESH,EAST SIANG,Pasighat,BLOCK,21043.19952,16044.44,15031.47,50,0.332635464,Safe
700,ARUNACHAL PRADESH,EAST SIANG,Ramle Bango,BLOCK,9317.148475,7636.76,6673.21,25.14,0.376730239,Safe
701,ARUNACHAL PRADESH,EAST SIANG,Ruksin,BLOCK,28885.40651,22489.47,19472.72,55.26,0.283781619,Safe
702,ARUNACHAL PRADESH,LOHIT,Chongkham,BLOCK,66920.49666,39561.26,35600.99,47.95,0.134687266,Safe
703,ARUNACHAL PRADESH,LOHIT,Lekang_Mahadevpur,BLOCK,10620.01198,8507.77,7629.84,69.2,0.906965284,Safe
704,ARUNACHAL PRADESH,LOHIT,Namsai,BLOCK,35190.68973,23104.66,20545.28,112.84,0.549225905,Safe
705,ARUNACHAL PRADESH,LOHIT,Tezu,BLOCK,58688.00954,34951.78,31456.6,25.18,0.080046795,Safe
706,ARUNACHAL PRADESH,LOHIT,Wakro,BLOCK,28580.79209,17042.05,15337.85,15.45,0.100731198,Safe
707,ARUNACHAL PRADESH,LOWER DIBANG VALLEY,Dambuk,BLOCK,45289.89354,30030.54,27027.49,15.18,0.056165038,Safe
708,ARUNACHAL PRADESH,LOWER DIBANG VALLEY,Roing-Koronu,BLOCK,74710.10646,49179.92,44261.92,232.73,0.525801863,Safe
709,ARUNACHAL PRADESH,LOWER SUBANSIRI,Tame Raga,BLOCK,2267.609954,1590.59,1265.87,11.07,0.874497381,Safe
710,ARUNACHAL PRADESH,LOWER SUBANSIRI,Yachuli,BLOCK,4094.291109,2550.66,2295.6,5.91,0.257449033,Safe
711,ARUNACHAL PRADESH,LOWER SUBANSIRI,Ziro I,BLOCK,3773.098937,2162.85,1946.57,22.13,1.136871523,Safe
712,ARUNACHAL PRADESH,PAPUM PARE,Balijan,BLOCK,3562.669921,3245.95,2757.96,24.83,0.900303123,Safe
713,ARUNACHAL PRADESH,PAPUM PARE,Doimukh,BLOCK,7651.944492,4764.94,3204.54,102.11,3.186416771,Safe
714,ARUNACHAL PRADESH,PAPUM PARE,Kimin,BLOCK,2814.142673,1846.02,418.98,11.12,2.654064633,Safe
715,ARUNACHAL PRADESH,PAPUM PARE,Sagalee,BLOCK,3790.242913,4160.89,3717.95,7.65,0.20575855,Safe
716,ARUNACHAL PRADESH,TIRAP,Kanubari,BLOCK,2410.768078,2505.58,2255.02,12.86,0.57028319,Safe
717,ARUNACHAL PRADESH,TIRAP,Khonsa,BLOCK,3498.868722,2422.78,2180.5,5.8,0.265994038,Safe
718,ARUNACHAL PRADESH,TIRAP,Namsang,BLOCK,4658.754746,3029.32,2726.39,16.02,0.587590183,Safe
719,ARUNACHAL PRADESH,TIRAP,Niausa,BLOCK,1931.608455,2178.6,1960.74,20.36,1.038383467,Safe
720,ARUNACHAL PRADESH,UPPER SUBANSIRI,Daporijo,BLOCK,320.33,959.34,863.4,13.65,1.580958999,Safe
721,ARUNACHAL PRADESH,UPPER SUBANSIRI,Dumporijo,BLOCK,379.67,1792.22,1612.99,7.51,0.465594951,Safe
722,ARUNACHAL PRADESH,WEST KAMENG,Dirang,BLOCK,1367.982993,1027.96,925.17,4.61,0.498286801,Safe
723,ARUNACHAL PRADESH,WEST KAMENG,Kalaktang,BLOCK,1648.485406,835.84,752.26,1.78,0.236620317,Safe
724,ARUNACHAL PRADESH,WEST KAMENG,Nafra,BLOCK,1160.543726,621.13,559.01,1.6,0.286220282,Safe
725,ARUNACHAL PRADESH,WEST KAMENG,Singchung,BLOCK,583.463443,288.17,259.36,3.52,1.357186922,Safe
726,ARUNACHAL PRADESH,WEST KAMENG,Thrizino,BLOCK,1414.524432,723.36,651.03,1.53,0.235012211,Safe
727,ARUNACHAL PRADESH,WEST SIANG,Basar,BLOCK,2676.416243,1698.43,1528.59,3.16,0.20672646,Safe
728,ARUNACHAL PRADESH,WEST SIANG,Darak,BLOCK,1566.22595,2728.96,2456.06,0.16,0.006514499,Safe
729,ARUNACHAL PRADESH,WEST SIANG,Likabali,BLOCK,2980.456445,2038.31,1834.48,4.17,0.227312372,Safe
730,ARUNACHAL PRADESH,WEST SIANG,Rumgong,BLOCK,3235.901362,1658.95,1493.06,0.16,0.010716247,Safe
731,ASSAM,BAKSA,BAKSA,BLOCK,29335.79,17202.79,14971.51,554.78,3.705571449,Safe
732,ASSAM,BAKSA,BARAMA,BLOCK,9794.92,5718.86,4999.24,211.73,4.235243757,Safe
733,ASSAM,BAKSA,DHAMDHAMA,BLOCK,17875.73,14831.12,13318.59,360.88,2.709596136,Safe
734,ASSAM,BAKSA,GOBARDHANA (PART),BLOCK,38689.93,22398.35,20158.52,697.12,3.458190383,Safe
735,ASSAM,BAKSA,GORESWAR,BLOCK,32837.47,19010.19,16669.89,678.05,4.067513343,Safe
736,ASSAM,BAKSA,JALAH,BLOCK,56271.82,29022.05,26004.76,860.02,3.307163765,Safe
737,ASSAM,BAKSA,NAGRIJULI,BLOCK,21475.36,15827.47,14109.57,423.91,3.004414734,Safe
738,ASSAM,BAKSA,TAMULPUR,BLOCK,34282.22,19846.86,16872.48,680.53,4.033372687,Safe
739,ASSAM,BAKSA,TIHU (PART),BLOCK,636.67,368.56,326.5,9.26,2.836140888,Safe
740,ASSAM,BAKSA,TIHU-BARAMA,BLOCK,3673.1,2126.58,1863.75,77.48,4.157209926,Safe
741,ASSAM,BARPETA,BAJALI,BLOCK,15893.85,5855.81,3316.23,1847.42,55.70844001,Safe
742,ASSAM,BARPETA,BARPETA,BLOCK,20435,8294.81,7465.33,2755.93,36.91638548,Safe
743,ASSAM,BARPETA,BHABANIPUR,BLOCK,29517.15,11951.55,8565.72,3777.43,44.09938686,Safe
744,ASSAM,BARPETA,CHAKCHAKA (PART),BLOCK,6812,2867.4,2580.66,982.86,38.08560601,Safe
745,ASSAM,BARPETA,CHENGA,BLOCK,20435,8181.93,7363.74,2347.2,31.87510694,Safe
746,ASSAM,BARPETA,GOBARDHANA (PART),BLOCK,4541.1,1840.06,1656.05,719.58,43.45158661,Safe
747,ASSAM,BARPETA,GOMAPHULBARI,BLOCK,15894,6413.96,5772.56,1939.92,33.60588716,Safe
748,ASSAM,BARPETA,JALAH (PART),BLOCK,13623.3,4998.85,4200.58,1566.11,37.2831847,Safe
749,ASSAM,BARPETA,MANDIA,BLOCK,61305,24795.45,22315.9,7400.11,33.16070604,Safe
750,ASSAM,BARPETA,PAKABETBARI,BLOCK,11353,4544.06,4086.92,1457.12,35.65325477,Safe
751,ASSAM,BARPETA,RUPOSHI,BLOCK,15893.85,6385.99,5747.39,2062.51,35.88602827,Safe
752,ASSAM,BARPETA,SARUKHETRI,BLOCK,11353,4601.17,4141.05,1522.21,36.75903454,Safe
753,ASSAM,BONGAIGAON,BOITAMARI,BLOCK,30842.36559,18612.04,16694.72,3521.61,21.09415432,Safe
754,ASSAM,BONGAIGAON,DANGTOL,BLOCK,18753.964,11338.83,8753.54,2521.62,28.80685985,Safe
755,ASSAM,BONGAIGAON,MANIKPUR (PART),BLOCK,16039.40319,8216.45,5830.74,1801.4,30.89487784,Safe
756,ASSAM,BONGAIGAON,SRIJANGRAM,BLOCK,21258.60183,10975.32,9093.53,2472.23,27.18669208,Safe
757,ASSAM,BONGAIGAON,TAPATTARY,BLOCK,12835.66539,6598.23,5569.63,1519.41,27.28026817,Safe
758,ASSAM,CACHAR,BARJALENGA,BLOCK,17850.28,5808.54,2725.44,86.27,3.165360456,Safe
759,ASSAM,CACHAR,BASKANDI,BLOCK,8200.74,2668.49,924.92,54.21,5.861047442,Safe
760,ASSAM,CACHAR,BINNAKANDI,BLOCK,24602.22,8168.94,3008.44,65.64,2.181861696,Safe
761,ASSAM,CACHAR,BORKHOLA,BLOCK,21868.64,7193.86,2049.32,116.9,5.704331193,Safe
762,ASSAM,CACHAR,KALAIN,BLOCK,21868.64,7348.06,5688.12,141.07,2.480081292,Safe
763,ASSAM,CACHAR,KATIGORAH,BLOCK,13121.18,4883.39,3257.59,93.26,2.8628526,Safe
764,ASSAM,CACHAR,LAKHIPUR,BLOCK,10934.32,3568.36,1339.71,44.72,3.338035844,Safe
765,ASSAM,CACHAR,NARSINGPUR,BLOCK,36684.64,11996.9,5209.5,154.21,2.960168922,Safe
766,ASSAM,CACHAR,PALONGHAT,BLOCK,12601.8,4100.92,1230.77,77.25,6.276558577,Safe
767,ASSAM,CACHAR,RAJABAZAR,BLOCK,36876,12065.16,6009.65,88.07,1.465476359,Safe
768,ASSAM,CACHAR,SALCHAPRA,BLOCK,7927.38,2579.78,1020.86,68.68,6.727660992,Safe
769,ASSAM,CACHAR,SILCHAR,BLOCK,7544.68,2451.3,1239.86,130.25,10.50521833,Safe
770,ASSAM,CACHAR,SONAI,BLOCK,15034.69,4887.81,1719.56,128.99,7.501337551,Safe
771,ASSAM,CACHAR,TAPANG,BLOCK,14351.3,4682.28,2431.43,54.22,2.229963437,Safe
772,ASSAM,CACHAR,UDARBOND,BLOCK,23891.49,10267.93,6236.43,142.04,2.277585093,Safe
773,ASSAM,CHIRANG,BOROBAZAR,BLOCK,85060.6,48470.26,43104.17,1001.99,2.324577877,Safe
774,ASSAM,CHIRANG,CHAKCHAKA (PART),BLOCK,460.32,261.1,230.21,18.36,7.975326875,Safe
775,ASSAM,CHIRANG,GOBARDHANA (PART),BLOCK,124.71,70.73,62.27,4.49,7.210534768,Safe
776,ASSAM,CHIRANG,MANIKPUR (PART),BLOCK,9589.7,5463.77,4680.45,215.84,4.611522396,Safe
777,ASSAM,CHIRANG,SIDLI-CHIRANG (PART),BLOCK,96558.67,54935.42,48432.54,1229.02,2.537591462,Safe
778,ASSAM,DARRANG,BECHIMARI,BLOCK,12612.3,4494.74,4045.27,1592.09,39.35682909,Safe
779,ASSAM,DARRANG,DALGAON-SIALMARI,BLOCK,35314.5,12524.48,11272.03,3882.08,34.43993673,Safe
780,ASSAM,DARRANG,KALAIGAON (PART),BLOCK,11035.8,3959.33,3563.4,1243.88,34.90711119,Safe
781,ASSAM,DARRANG,KHOIRABARI (PART),BLOCK,1576.5,559.13,503.21,174.62,34.70121818,Safe
782,ASSAM,DARRANG,PACHIM-MANGALDAI,BLOCK,22071.6,7664.92,7271.01,2430.51,33.42740555,Safe
783,ASSAM,DARRANG,PUB MANGOLDOI,BLOCK,27116.5,10989.5,9890.55,3089.52,31.23708995,Safe
784,ASSAM,DARRANG,SIPAJHAR_PART,BLOCK,47926.8,17691.82,15700.64,5280.22,33.63060359,Safe
785,ASSAM,DHEMAJI,BORDOLONI,BLOCK,51685.58,22126.34,12198.5,846.14,6.93642661,Safe
786,ASSAM,DHEMAJI,DHEMAJI,BLOCK,46737.63,19999.24,12562.07,780.89,6.216252576,Safe
787,ASSAM,DHEMAJI,MACHKHOWA,BLOCK,18184.5,9156.02,6570.94,105.42,1.60433667,Safe
788,ASSAM,DHEMAJI,MURKONGSELEK,BLOCK,104789.37,44839.71,31737.03,1420.57,4.476064711,Safe
789,ASSAM,DHEMAJI,SISIBORGAON,BLOCK,93758.91,47295,33787.61,1453.71,4.302494317,Safe
790,ASSAM,DHUBRI,AGAMONI,BLOCK,15007.44,8105.8,7295.22,2064.5,28.29935218,Safe
791,ASSAM,DHUBRI,BILASIPARA (PART),BLOCK,12649.13,6800.02,6050.1,1675.94,27.70102974,Safe
792,ASSAM,DHUBRI,BIRSHINGJARUA,BLOCK,42599.69,22378.64,19931.81,4945.91,24.81415386,Safe
793,ASSAM,DHUBRI,CHAPAR-SALKOCHA (PART),BLOCK,26156.51,12065.98,10774.54,3371.73,31.29349374,Safe
794,ASSAM,DHUBRI,DEBITOLA (PART),BLOCK,5638.51,3441.31,3097.17,798.17,25.77094573,Safe
795,ASSAM,DHUBRI,FEKAMARI,BLOCK,15650.62,8214.13,7270.76,2105.81,28.96272192,Safe
796,ASSAM,DHUBRI,GAURIPUR,BLOCK,17151.36,7863.47,7017.79,2623.39,37.38199633,Safe
797,ASSAM,DHUBRI,GOLAKGANJ (PART),BLOCK,12220,6615.83,5914.63,1580.08,26.71477337,Safe
798,ASSAM,DHUBRI,HATIDHURA (PART),BLOCK,7503.72,3667.1,3300.39,958.77,29.05020316,Safe
799,ASSAM,DHUBRI,JAMADARHAT,BLOCK,6431.76,3145.24,2830.72,896.33,31.66438221,Safe
800,ASSAM,DHUBRI,MAHAMAYA (PART),BLOCK,11791.56,6182.28,5564.06,1528.22,27.46591518,Safe
801,ASSAM,DHUBRI,MANKACHAR,BLOCK,9218.86,4855.85,4370.27,1453.16,33.25103483,Safe
802,ASSAM,DHUBRI,NAYERALGA,BLOCK,7289.33,3561.98,3205.78,1030.14,32.13383326,Safe
803,ASSAM,DHUBRI,RUPSI (PART),BLOCK,12220,6238.3,5772.98,1613.07,27.94172161,Safe
804,ASSAM,DHUBRI,SOUTH SALMARA,BLOCK,12863.52,6737.74,6063.97,1648.5,27.18516088,Safe
805,ASSAM,DIBRUGARH,BARBARUAH,BLOCK,60243.84,28683.57,24822.01,1391.51,5.605952137,Safe
806,ASSAM,DIBRUGARH,JOYPUR,BLOCK,43509.44,17659.02,12664.32,1156.34,9.130691581,Safe
807,ASSAM,DIBRUGARH,KHOWANG,BLOCK,43509.44,20718.16,16958.46,1079.9,6.367913124,Safe
808,ASSAM,DIBRUGARH,LAHOAL,BLOCK,90365.76,36614.69,31328.73,2112.51,6.743043845,Safe
809,ASSAM,DIBRUGARH,PANITOLA,BLOCK,20081.28,9569.25,8419.17,628.48,7.464868865,Safe
810,ASSAM,DIBRUGARH,TENGAKHAT,BLOCK,36815.68,17508.28,14641.87,1049.89,7.170463882,Safe
811,ASSAM,DIBRUGARH,TINGKHONG,BLOCK,40162.56,19103.67,14625.35,988.7,6.760180098,Safe
812,ASSAM,DIMA HASAO,DIYUNG VALLEY,BLOCK,74976,20148.6,18133.74,170.02,0.937589267,Safe
813,ASSAM,DIMA HASAO,DIYUNGBRA,BLOCK,60918,16355.55,14720,79.06,0.537092391,Safe
814,ASSAM,DIMA HASAO,HARANGAJAO,BLOCK,37488,10078.21,9070.39,144.12,1.58890632,Safe
815,ASSAM,DIMA HASAO,JATINGA VALLEY,BLOCK,9372,2536.34,2282.71,91.89,4.025478488,Safe
816,ASSAM,DIMA HASAO,NEW SANGBAR,BLOCK,51546,13840.58,12456.52,88.46,0.710150186,Safe
817,ASSAM,GOALPARA,BALIJANA,BLOCK,22357.79,10333.15,8237.17,1890.53,22.95120776,Safe
818,ASSAM,GOALPARA,JALESWAR,BLOCK,22357.79,11100.41,8055.46,1682.38,20.88496498,Safe
819,ASSAM,GOALPARA,KHARMUZA,BLOCK,17198.3,8324.26,5845.77,1195.27,20.44675039,Safe
820,ASSAM,GOALPARA,KRISHNAI,BLOCK,20637.96,9925.68,6579.19,1584.26,24.07986393,Safe
821,ASSAM,GOALPARA,KUCHDHOWA,BLOCK,18918.13,8840.86,6552.14,1298.62,19.81978407,Safe
822,ASSAM,GOALPARA,LAKHIPUR,BLOCK,24077.62,10025.34,6510.48,1573.74,24.17241125,Safe
823,ASSAM,GOALPARA,MATIA,BLOCK,22357.79,10808.85,8379.47,1606.8,19.17543711,Safe
824,ASSAM,GOALPARA,RONGJULI,BLOCK,24077.62,11545.83,8284.13,1641.17,19.81101214,Safe
