Sl. No,State,District,Assessment Unit  Name,Assessment Unit Type,Recharge Worthy Area(Ha),Total Annual  Ground Water (Ham) Recharge,Annual Extractable Ground Water Resource  (Ham),Total  Ground Water Extraction  (Ham),Stage of Ground Water  Extraction (%),Categorization
736,ASSAM,BAKSA,JALAH,BLOCK,56271.82,29022.05,26004.76,860.02,3.31,Safe
737,ASSAM,BAKSA,NAGRIJULI,BLOCK,21475.36,15827.47,14109.57,423.91,3.00,Safe
738,ASSAM,BAKSA,TAMULPUR,BLOCK,34282.22,19846.86,16872.48,680.53,4.03,Safe
739,ASSAM,BAKSA,TIHU (PART),BLOCK,636.67,368.56,326.50,9.26,2.84,Safe
740,ASSAM,BAKSA,TIHU-BARAMA,BLOCK,3673.10,2126.58,1863.75,77.48,4.16,Safe
741,ASSAM,BARPETA,BAJALI,BLOCK,15893.85,5855.81,3316.23,1847.42,55.71,Safe
742,ASSAM,BARPETA,BARPETA,BLOCK,20435.00,8294.81,7465.33,2755.93,36.92,Safe
743,ASSAM,BARPETA,BHABANIPUR,BLOCK,29517.15,11951.55,8565.72,3777.43,44.10,Safe
744,ASSAM,BARPETA,CHAKCHAKA (PART),BLOCK,6812.00,2867.40,2580.66,982.86,38.09,Safe
745,ASSAM,BARPETA,CHENGA,BLOCK,20435.00,8181.93,7363.74,2347.20,31.88,Safe
746,ASSAM,BARPETA,GOBARDHANA (PART),BLOCK,4541.10,1840.06,1656.05,719.58,43.45,Safe
747,ASSAM,BARPETA,GOMAPHULBARI,BLOCK,15894.00,6413.96,5772.56,1939.92,33.61,Safe
748,ASSAM,BARPETA,JALAH (PART),BLOCK,13623.30,4998.85,4200.58,1566.11,37.28,Safe
749,ASSAM,BARPETA,MANDIA,BLOCK,61305.00,24795.45,22315.90,7400.11,33.16,Safe
750,ASSAM,BARPETA,PAKABETBARI,BLOCK,11353.00,4544.06,4086.92,1457.12,35.65,Safe
751,ASSAM,BARPETA,RUPOSHI,BLOCK,15893.85,6385.99,5747.39,2062.51,35.89,Safe
752,ASSAM,BARPETA,SARUKHETRI,BLOCK,11353.00,4601.17,4141.05,1522.21,36.76,Safe
753,ASSAM,BONGAIGAON,BOITAMARI,BLOCK,30842.37,18612.04,16694.72,3521.61,21.09,Safe
754,ASSAM,BONGAIGAON,DANGTOL,BLOCK,18753.96,11338.83,8753.54,2521.62,28.81,Safe
755,ASSAM,BONGAIGAON,MANIKPUR (PART),BLOCK,16039.40,8216.45,5830.74,1801.40,30.89,Safe
756,ASSAM,BONGAIGAON,SRIJANGRAM,BLOCK,21258.60,10975.32,9093.53,2472.23,27.19,Safe
757,ASSAM,BONGAIGAON,TAPATTARY,BLOCK,12835.67,6598.23,5569.63,1519.41,27.28,Safe
758,ASSAM,CACHAR,BARJALENGA,BLOCK,17850.28,5808.54,2725.44,86.27,3.17,Safe
759,ASSAM,CACHAR,BASKANDI,BLOCK,8200.74,2668.49,924.92,54.21,5.86,Safe
760,ASSAM,CACHAR,BINNAKANDI,BLOCK,24602.22,8168.94,3008.44,65.64,2.18,Safe
761,ASSAM,CACHAR,BORKHOLA,BLOCK,21868.64,7193.86,2049.32,116.90,5.70,Safe
762,ASSAM,CACHAR,KALAIN,BLOCK,21868.64,7348.06,5688.12,141.07,2.48,Safe
763,ASSAM,CACHAR,KATIGORAH,BLOCK,13121.18,4883.39,3257.59,93.26,2.86,Safe
764,ASSAM,CACHAR,LAKHIPUR,BLOCK,10934.32,3568.36,1339.71,44.72,3.34,Safe
765,ASSAM,CACHAR,NARSINGPUR,BLOCK,36684.64,11996.90,5209.50,154.21,2.96,Safe
766,ASSAM,CACHAR,PALONGHAT,BLOCK,12601.80,4100.92,1230.77,77.25,6.28,Safe
767,ASSAM,CACHAR,RAJABAZAR,BLOCK,36876.00,12065.16,6009.65,88.07,1.47,Safe
768,ASSAM,CACHAR,SALCHAPRA,BLOCK,7927.38,2579.78,1020.86,68.68,6.73,Safe
769,ASSAM,CACHAR,SILCHAR,BLOCK,7544.68,2451.30,1239.86,130.25,10.51,Safe
770,ASSAM,CACHAR,SONAI,BLOCK,15034.69,4887.81,1719.56,128.99,7.50,Safe
771,ASSAM,CACHAR,TAPANG,BLOCK,14351.30,4682.28,2431.43,54.22,2.23,Safe
772,ASSAM,CACHAR,UDARBOND,BLOCK,23891.49,10267.93,6236.43,142.04,2.28,Safe
773,ASSAM,CHIRANG,BOROBAZAR,BLOCK,85060.60,48470.26,43104.17,1001.99,2.32,Safe
774,ASSAM,CHIRANG,CHAKCHAKA (PART),BLOCK,460.32,261.10,230.21,18.36,7.98,Safe
775,ASSAM,CHIRANG,GOBARDHANA (PART),BLOCK,124.71,70.73,62.27,4.49,7.21,Safe
776,ASSAM,CHIRANG,MANIKPUR (PART),BLOCK,9589.70,5463.77,4680.45,215.84,4.61,Safe
777,ASSAM,CHIRANG,SIDLI-CHIRANG (PART),BLOCK,96558.67,54935.42,48432.54,1229.02,2.54,Safe
778,ASSAM,DARRANG,BECHIMARI,BLOCK,12612.30,4494.74,4045.27,1592.09,39.36,Safe
779,ASSAM,DARRANG,DALGAON-SIALMARI,BLOCK,35314.50,12524.48,11272.03,3882.08,34.44,Safe
780,ASSAM,DARRANG,KALAIGAON (PART),BLOCK,11035.80,3959.33,3563.40,1243.88,34.91,Safe
781,ASSAM,DARRANG,KHOIRABARI (PART),BLOCK,1576.50,559.13,503.21,174.62,34.70,Safe
782,ASSAM,DARRANG,PACHIM-MANGALDAI,BLOCK,22071.60,7664.92,7271.01,2430.51,33.43,Safe
783,ASSAM,DARRANG,PUB MANGOLDOI,BLOCK,27116.50,10989.50,9890.55,3089.52,31.24,Safe
784,ASSAM,DARRANG,SIPAJHAR_PART,BLOCK,47926.80,17691.82,15700.64,5280.22,33.63,Safe
785,ASSAM,DHEMAJI,BORDOLONI,BLOCK,51685.58,22126.34,12198.50,846.14,6.94,Safe
786,ASSAM,DHEMAJI,DHEMAJI,BLOCK,46737.63,19999.24,12562.07,780.89,6.22,Safe
787,ASSAM,DHEMAJI,MACHKHOWA,BLOCK,18184.50,9156.02,6570.94,105.42,1.60,Safe
788,ASSAM,DHEMAJI,MURKONGSELEK,BLOCK,104789.37,44839.71,31737.03,1420.57,4.48,Safe
789,ASSAM,DHEMAJI,SISIBORGAON,BLOCK,93758.91,47295.00,33787.61,1453.71,4.30,Safe
790,ASSAM,DHUBRI,AGAMONI,BLOCK,15007.44,8105.80,7295.22,2064.50,28.30,Safe
791,ASSAM,DHUBRI,BILASIPARA (PART),BLOCK,12649.13,6800.02,6050.10,1675.94,27.70,Safe
792,ASSAM,DHUBRI,BIRSHINGJARUA,BLOCK,42599.69,22378.64,19931.81,4945.91,24.81,Safe
793,ASSAM,DHUBRI,CHAPAR-SALKOCHA (PART),BLOCK,26156.51,12065.98,10774.54,3371.73,31.29,Safe
794,ASSAM,DHUBRI,DEBITOLA (PART),BLOCK,5638.51,3441.31,3097.17,798.17,25.77,Safe
795,ASSAM,DHUBRI,FEKAMARI,BLOCK,15650.62,8214.13,7270.76,2105.81,28.96,Safe
796,ASSAM,DHUBRI,GAURIPUR,BLOCK,17151.36,7863.47,7017.79,2623.39,37.38,Safe
797,ASSAM,DHUBRI,GOLAKGANJ (PART),BLOCK,12220.00,6615.83,5914.63,1580.08,26.71,Safe
798,ASSAM,DHUBRI,HATIDHURA (PART),BLOCK,7503.72,3667.10,3300.39,958.77,29.05,Safe
799,ASSAM,DHUBRI,JAMADARHAT,BLOCK,6431.76,3145.24,2830.72,896.33,31.66,Safe
800,ASSAM,DHUBRI,MAHAMAYA (PART),BLOCK,11791.56,6182.28,5564.06,1528.22,27.47,Safe
801,ASSAM,DHUBRI,MANKACHAR,BLOCK,9218.86,4855.85,4370.27,1453.16,33.25,Safe
802,ASSAM,DHUBRI,NAYERALGA,BLOCK,7289.33,3561.98,3205.78,1030.14,32.13,Safe
803,ASSAM,DHUBRI,RUPSI (PART),BLOCK,12220.00,6238.30,5772.98,1613.07,27.94,Safe
804,ASSAM,DHUBRI,SOUTH SALMARA,BLOCK,12863.52,6737.74,6063.97,1648.50,27.19,Safe
805,ASSAM,DIBRUGARH,BARBARUAH,BLOCK,60243.84,28683.57,24822.01,1391.51,5.61,Safe
806,ASSAM,DIBRUGARH,JOYPUR,BLOCK,43509.44,17659.02,12664.32,1156.34,9.13,Safe
807,ASSAM,DIBRUGARH,KHOWANG,BLOCK,43509.44,20718.16,16958.46,1079.90,6.37,Safe
808,ASSAM,DIBRUGARH,LAHOAL,BLOCK,90365.76,36614.69,31328.73,2112.51,6.74,Safe
809,ASSAM,DIBRUGARH,PANITOLA,BLOCK,20081.28,9569.25,8419.17,628.48,7.46,Safe
810,ASSAM,DIBRUGARH,TENGAKHAT,BLOCK,36815.68,17508.28,14641.87,1049.89,7.17,Safe
811,ASSAM,DIBRUGARH,TINGKHONG,BLOCK,40162.56,19103.67,14625.35,988.70,6.76,Safe
812,ASSAM,DIMA HASAO,DIYUNG VALLEY,BLOCK,74976.00,20148.60,18133.74,170.02,0.94,Safe
813,ASSAM,DIMA HASAO,DIYUNGBRA,BLOCK,60918.00,16355.55,14720.00,79.06,0.54,Safe
814,ASSAM,DIMA HASAO,HARANGAJAO,BLOCK,37488.00,10078.21,9070.39,144.12,1.59,Safe
815,ASSAM,DIMA HASAO,JATINGA VALLEY,BLOCK,9372.00,2536.34,2282.71,91.89,4.03,Safe
816,ASSAM,DIMA HASAO,NEW SANGBAR,BLOCK,51546.00,13840.58,12456.52,88.46,0.71,Safe
817,ASSAM,GOALPARA,BALIJANA,BLOCK,22357.79,10333.15,8237.17,1890.53,22.95,Safe
818,ASSAM,GOALPARA,JALESWAR,BLOCK,22357.79,11100.41,8055.46,1682.38,20.88,Safe
819,ASSAM,GOALPARA,KHARMUZA,BLOCK,17198.30,8324.26,5845.77,1195.27,20.45,Safe
820,ASSAM,GOALPARA,KRISHNAI,BLOCK,20637.96,9925.68,6579.19,1584.26,24.08,Safe
821,ASSAM,GOALPARA,KUCHDHOWA,BLOCK,18918.13,8840.86,6552.14,1298.62,19.82,Safe
822,ASSAM,GOALPARA,LAKHIPUR,BLOCK,24077.62,10025.34,6510.48,1573.74,24.17,Safe
823,ASSAM,GOALPARA,MATIA,BLOCK,22357.79,10808.85,8379.47,1606.80,19.18,Safe
824,ASSAM,GOALPARA,RONGJULI,BLOCK,24077.62,11545.83,8284.13,1641.17,19.81,Safe
825,ASSAM,GOLAGHAT,GAMARIGURI,BLOCK,30567.00,9846.89,8861.69,556.22,6.28,Safe
826,ASSAM,GOLAGHAT,GOLAGHAT CENTRAL,BLOCK,26842.00,8447.22,7509.55,545.20,7.26,Safe
827,ASSAM,GOLAGHAT,GOLAGHAT EAST,BLOCK,38330.00,12103.52,10453.54,608.26,5.82,Safe
828,ASSAM,GOLAGHAT,GOLAGHAT NORTH,BLOCK,12881.00,4137.86,3721.41,231.12,6.21,Safe
829,ASSAM,GOLAGHAT,GOLAGHAT SOUTH,BLOCK,87000.00,27454.76,24709.28,1386.07,5.61,Safe
830,ASSAM,GOLAGHAT,GOLAGHAT WEST,BLOCK,107749.00,33681.64,29447.82,1674.94,5.69,Safe
831,ASSAM,GOLAGHAT,KAKODONGA,BLOCK,10375.00,3258.75,2932.88,256.77,8.75,Safe
832,ASSAM,GOLAGHAT,MORONGI,BLOCK,34396.00,10679.00,9359.45,687.21,7.34,Safe
833,ASSAM,HAILAKANDI,ALGAPUR,BLOCK,14802.00,4232.35,3562.00,98.72,2.77,Safe
834,ASSAM,HAILAKANDI,HAILAKANDI,BLOCK,15852.00,4571.59,3019.17,135.74,4.50,Safe
835,ASSAM,HAILAKANDI,KATLICHERRA,BLOCK,35484.00,10163.54,5410.15,59.59,1.10,Safe
836,ASSAM,HAILAKANDI,LALA,BLOCK,15747.00,4600.85,2858.17,165.06,5.78,Safe
837,ASSAM,HAILAKANDI,SOUTH HAILAKANDI,BLOCK,23096.00,6855.22,6026.48,82.15,1.36,Safe
838,ASSAM,JORHAT,JORHAT,BLOCK,29198.00,12154.63,4286.59,1083.84,25.28,Safe
839,ASSAM,JORHAT,JORHAT CENTRAL,BLOCK,22353.00,9131.31,3542.59,560.88,15.83,Safe
840,ASSAM,JORHAT,JORHAT EAST,BLOCK,19028.00,13091.48,9124.80,528.62,5.79,Safe
841,ASSAM,JORHAT,KALIAPANI,BLOCK,22073.00,9039.77,3789.88,542.81,14.32,Safe
842,ASSAM,JORHAT,MAJULI,BLOCK,78234.00,31980.32,12335.11,1728.57,14.01,Safe
843,ASSAM,JORHAT,NORTH WEST JORHAT,BLOCK,26711.00,12430.75,5305.15,701.28,13.22,Safe
844,ASSAM,JORHAT,TITABOR,BLOCK,40179.00,24963.76,12299.68,1068.88,8.69,Safe
845,ASSAM,JORHAT,UJANI MAJULI,BLOCK,41632.00,16852.93,6829.94,923.30,13.52,Safe
846,ASSAM,KAMRUP,BEZERA (PART),BLOCK,11115.00,3249.09,2924.18,1285.46,43.96,Safe
847,ASSAM,KAMRUP,BIHDIYA JAJIKONA,BLOCK,12625.00,4488.49,3338.55,1080.20,32.36,Safe
848,ASSAM,KAMRUP,BOKO,BLOCK,39191.00,13828.50,9441.44,3516.37,37.24,Safe
849,ASSAM,KAMRUP,BONGAON,BLOCK,13567.00,4658.15,3644.29,1865.61,51.19,Safe
850,ASSAM,KAMRUP,CHAMARIA,BLOCK,31037.00,10534.22,8145.52,2420.17,29.71,Safe
851,ASSAM,KAMRUP,CHAYANI BARDUAR,BLOCK,23856.00,8111.02,6945.86,2216.99,31.92,Safe
852,ASSAM,KAMRUP,CHAYGAON,BLOCK,14468.00,4933.14,4426.71,1194.89,26.99,Safe
853,ASSAM,KAMRUP,GOROIMARI,BLOCK,15329.00,5189.23,4492.67,1247.87,27.78,Safe
854,ASSAM,KAMRUP,HAJO,BLOCK,25408.00,7342.50,4814.14,2090.91,43.43,Safe
855,ASSAM,KAMRUP,KAMALPUR,BLOCK,13379.00,3897.92,2091.61,1178.25,56.33,Safe
856,ASSAM,KAMRUP,RAMPUR,BLOCK,15781.00,5347.61,4797.74,1322.79,27.57,Safe
857,ASSAM,KAMRUP,RANGIA,BLOCK,18268.00,7589.34,6830.40,1522.70,22.29,Safe
858,ASSAM,KAMRUP,RANI (PART),BLOCK,15966.00,4877.00,4228.71,2094.25,49.52,Safe
859,ASSAM,KAMRUP,SUALKUCHI,BLOCK,13034.00,4432.28,1825.33,1025.69,56.19,Safe
860,ASSAM,KAMRUP (M),CHANDRAPUR,BLOCK,13761.00,7511.13,6644.45,586.16,8.82,Safe
861,ASSAM,KAMRUP (M),DIMORIA,BLOCK,24770.00,13501.97,9776.94,1209.58,12.37,Safe
862,ASSAM,KAMRUP (M),GUWAHATI,BLOCK,20042.00,5676.84,4146.65,3240.16,78.14,Semi Critical
863,ASSAM,KAMRUP (M),RANI (PART),BLOCK,7339.00,3097.25,2800.43,272.90,9.74,Safe
864,ASSAM,KARBI ANGLONG,AMRI,BLOCK,19683.00,3918.28,3526.45,146.54,4.16,Safe
865,ASSAM,KARBI ANGLONG,BOKAJAN,BLOCK,107271.00,24624.47,21302.47,513.95,2.41,Safe
866,ASSAM,KARBI ANGLONG,CHINTHONG,BLOCK,32805.00,6522.67,5870.41,189.88,3.23,Safe
867,ASSAM,KARBI ANGLONG,HOWRAGHAT,BLOCK,31492.00,7223.14,2044.36,314.10,15.36,Safe
868,ASSAM,KARBI ANGLONG,LANGSOMEPI,BLOCK,32805.00,5485.26,3949.44,167.74,4.25,Safe
869,ASSAM,KARBI ANGLONG,LUMBAJONG,BLOCK,131218.00,26004.09,23342.61,472.31,2.02,Safe
870,ASSAM,KARBI ANGLONG,NILIP,BLOCK,44942.00,8937.93,8044.13,211.12,2.62,Safe
871,ASSAM,KARBI ANGLONG,RONGKHANG,BLOCK,45926.00,9114.26,8134.89,417.61,5.13,Safe
872,ASSAM,KARBI ANGLONG,RONGMONGWAY,BLOCK,45926.00,9135.15,6958.37,180.97,2.60,Safe
873,ASSAM,KARBI ANGLONG,SAMELANGSO,BLOCK,52487.00,10423.65,4158.93,230.84,5.55,Safe
874,ASSAM,KARBI ANGLONG,SOCHENG,BLOCK,111535.00,22106.95,19896.25,193.41,0.97,Safe
875,ASSAM,KARIMGANJ,BADARPUR,BLOCK,14418.00,5303.46,2108.96,185.98,8.82,Safe
876,ASSAM,KARIMGANJ,DULLAVCHERRA,BLOCK,42750.00,15794.47,9496.60,206.65,2.18,Safe
877,ASSAM,KARIMGANJ,LOWAIRPOA,BLOCK,40236.00,14811.39,10663.74,176.10,1.65,Safe
878,ASSAM,KARIMGANJ,NORTH KARIMGANJ,BLOCK,11400.00,3635.46,3271.92,165.49,5.06,Safe
879,ASSAM,KARIMGANJ,PATHARKANDI,BLOCK,21124.00,7774.76,2351.34,214.94,9.14,Safe
880,ASSAM,KARIMGANJ,RAMKRISHNA NAGAR,BLOCK,17938.00,6599.54,2619.68,131.12,5.01,Safe
881,ASSAM,KARIMGANJ,SOUTH KARIMGANJ,BLOCK,19782.00,7270.54,1608.50,335.53,20.86,Safe
882,ASSAM,KOKRAJHAR,BILASIPARA (PART),BLOCK,1308.00,717.12,645.41,34.86,5.40,Safe
883,ASSAM,KOKRAJHAR,CHAPAR-SALKOCHA (PART),BLOCK,7620.00,4180.51,3762.45,217.92,5.79,Safe
884,ASSAM,KOKRAJHAR,DEBITOLA (PART),BLOCK,37936.00,21116.33,18111.98,819.41,4.52,Safe
885,ASSAM,KOKRAJHAR,DOTOMA,BLOCK,30087.00,16915.63,14598.22,859.54,5.89,Safe
886,ASSAM,KOKRAJHAR,GOLAKGANJ (PART),BLOCK,2191.00,1219.95,1085.62,48.47,4.46,Safe
887,ASSAM,KOKRAJHAR,GOSSAIGAON,BLOCK,27143.00,15114.73,12938.42,748.96,5.79,Safe
888,ASSAM,KOKRAJHAR,HATIDHURA (PART),BLOCK,9157.00,5099.88,4575.25,254.50,5.56,Safe
889,ASSAM,KOKRAJHAR,KACHUGAON,BLOCK,98436.00,54807.20,46546.07,2267.80,4.87,Safe
890,ASSAM,KOKRAJHAR,KOKRAJHAR,BLOCK,99744.00,55464.27,49379.88,2440.75,4.94,Safe
891,ASSAM,KOKRAJHAR,MAHAMAYA (PART),BLOCK,654.00,358.48,310.13,75.48,24.34,Safe
892,ASSAM,KOKRAJHAR,RUPSI (PART),BLOCK,12754.00,7097.72,5915.06,291.14,4.92,Safe
893,ASSAM,LAKHIMPUR,BIHPURIA,BLOCK,13046.00,6413.07,4206.71,562.25,13.37,Safe
894,ASSAM,LAKHIMPUR,BOGINADI,BLOCK,36214.00,17811.83,9288.78,997.68,10.74,Safe
895,ASSAM,LAKHIMPUR,DHAKUAKHANA,BLOCK,26992.00,15655.15,11474.51,783.86,6.83,Safe
896,ASSAM,LAKHIMPUR,GHILAMARA,BLOCK,26767.00,14486.79,11562.66,685.45,5.93,Safe
897,ASSAM,LAKHIMPUR,KARUNABARI,BLOCK,20244.00,11737.03,7368.47,769.03,10.44,Safe
898,ASSAM,LAKHIMPUR,LAKHIMPUR,BLOCK,22492.00,13048.37,7217.63,844.63,11.70,Safe
899,ASSAM,LAKHIMPUR,NARAYANPUR,BLOCK,30815.00,15148.14,7907.24,900.42,11.39,Safe
900,ASSAM,LAKHIMPUR,NOWBOICHA,BLOCK,22493.00,11055.21,5118.93,709.59,13.86,Safe
901,ASSAM,LAKHIMPUR,TELAHI,BLOCK,25867.00,12715.71,7406.01,673.08,9.09,Safe
902,ASSAM,MORIGAON,BATADRABA (PART),BLOCK,596.00,202.18,124.76,71.71,57.48,Safe
903,ASSAM,MORIGAON,BHURBANDHA,BLOCK,27279.00,8406.25,5319.61,2341.33,44.01,Safe
904,ASSAM,MORIGAON,DULONGGHAT (PART),BLOCK,7155.00,2423.17,1262.52,595.92,47.20,Safe
905,ASSAM,MORIGAON,KAPILI (PART),BLOCK,5366.00,2236.48,1432.03,483.35,33.75,Safe
906,ASSAM,MORIGAON,LAHARIGHAT,BLOCK,36968.00,13446.10,10750.23,3174.95,29.53,Safe
907,ASSAM,MORIGAON,MAIRABARI (PART),BLOCK,11180.00,3203.16,2926.46,1087.13,37.15,Safe
908,ASSAM,MORIGAON,MAYANG,BLOCK,60522.00,19123.83,15797.81,5403.39,34.20,Safe
909,ASSAM,NAGAON,BAJIAGAON,BLOCK,17735.00,6038.53,3309.94,1281.94,38.73,Safe
910,ASSAM,NAGAON,BARHAMPUR,BLOCK,15848.00,4748.81,2283.92,1232.00,53.94,Safe
911,ASSAM,NAGAON,BATADRABA (PART),BLOCK,11320.00,7402.58,5193.36,851.43,16.39,Safe
912,ASSAM,NAGAON,BINNAKANDI,BLOCK,18867.00,6680.03,4488.67,1943.07,43.29,Safe
913,ASSAM,NAGAON,DHAL PUKHURI,BLOCK,29433.00,10022.01,8623.88,2169.05,25.15,Safe
914,ASSAM,NAGAON,DULONGGHAT (PART),BLOCK,6415.00,12084.93,10083.84,462.39,4.59,Safe
915,ASSAM,NAGAON,JUGIJAN,BLOCK,27169.00,7763.30,4800.98,2034.06,42.37,Safe
916,ASSAM,NAGAON,JURIA,BLOCK,15094.00,5146.69,3128.46,1228.00,39.25,Safe
917,ASSAM,NAGAON,KALIABOR,BLOCK,15470.00,5283.06,3865.58,1235.51,31.96,Safe
918,ASSAM,NAGAON,KAPILI (PART),BLOCK,11320.00,3842.80,2514.07,706.12,28.09,Safe
919,ASSAM,NAGAON,KATHIATOLI,BLOCK,34715.00,12799.03,7529.44,2567.93,34.11,Safe
920,ASSAM,NAGAON,KHAGORIJAN,BLOCK,10566.00,4104.01,3693.61,1097.66,29.72,Safe
921,ASSAM,NAGAON,LAOKHOWA,BLOCK,7547.00,2581.40,1848.47,652.75,35.31,Safe
922,ASSAM,NAGAON,LUMDING,BLOCK,63393.00,21614.27,19137.83,4716.06,24.64,Safe
923,ASSAM,NAGAON,MAIRABARI (PART),BLOCK,7547.00,2154.59,1457.28,586.87,40.27,Safe
924,ASSAM,NAGAON,PACHIM-KALIABOR,BLOCK,17358.00,4963.83,2799.74,1300.59,46.45,Safe
925,ASSAM,NAGAON,PAKHIMARIA,BLOCK,7169.00,2047.92,956.15,523.00,54.70,Safe
926,ASSAM,NAGAON,RAHA,BLOCK,26414.00,8998.41,5890.98,1906.31,32.36,Safe
927,ASSAM,NAGAON,RUPAHI,BLOCK,15471.00,5267.81,2899.75,1121.11,38.66,Safe
928,ASSAM,NAGAON,UDALI,BLOCK,18490.00,6295.65,5627.02,1425.00,25.32,Safe
929,ASSAM,NALBARI,BARBHAG,BLOCK,7047.00,2424.12,2181.71,542.07,24.85,Safe
930,ASSAM,NALBARI,BARIGOG BANBHAG,BLOCK,14301.00,4786.39,4307.75,1078.53,25.04,Safe
931,ASSAM,NALBARI,BARKHETRI,BLOCK,37825.00,10772.13,9694.91,2803.82,28.92,Safe
932,ASSAM,NALBARI,MADHUPUR,BLOCK,6943.00,2330.34,2097.31,542.01,25.84,Safe
933,ASSAM,NALBARI,PACHIM NALBARI,BLOCK,13886.00,4660.92,4194.82,1057.56,25.21,Safe
934,ASSAM,NALBARI,PUB NALBARI,BLOCK,12954.00,4348.03,3913.22,1058.23,27.04,Safe
935,ASSAM,NALBARI,TIHU (PART),BLOCK,10674.00,3582.88,3224.60,832.35,25.81,Safe
936,ASSAM,SIBSAGAR,AMGURI,BLOCK,13725.00,5894.65,5305.18,207.37,3.91,Safe
937,ASSAM,SIBSAGAR,DEMOW,BLOCK,58710.00,25126.13,17961.76,879.53,4.90,Safe
938,ASSAM,SIBSAGAR,GOURISAGAR,BLOCK,31841.00,11735.31,9597.34,574.65,5.99,Safe
939,ASSAM,SIBSAGAR,LAKWA,BLOCK,9256.00,3941.79,3547.61,183.39,5.17,Safe
940,ASSAM,SIBSAGAR,NAZIRA,BLOCK,23801.00,10181.84,9152.30,439.21,4.80,Safe
941,ASSAM,SIBSAGAR,PACHIM ABHYAPURI,BLOCK,24938.00,10620.44,9558.40,425.03,4.45,Safe
942,ASSAM,SIBSAGAR,SAPEKHATI,BLOCK,40014.00,17402.70,16330.22,664.26,4.07,Safe
943,ASSAM,SIBSAGAR,SIBSAGAR,BLOCK,33322.00,14313.34,12069.65,684.87,5.67,Safe
944,ASSAM,SIBSAGAR,SONARI,BLOCK,28852.00,12286.69,10914.07,494.80,4.53,Safe
945,ASSAM,SONITPUR,BAGHMARA,BLOCK,24327.00,7400.51,6657.20,616.10,9.25,Safe
946,ASSAM,SONITPUR,BALIPARA,BLOCK,33360.00,9895.63,6539.30,1102.37,16.86,Safe
947,ASSAM,SONITPUR,BARCHALA,BLOCK,46190.00,16160.65,10980.74,1230.08,11.20,Safe
948,ASSAM,SONITPUR,BEHALI,BLOCK,35926.00,10722.12,9029.83,806.47,8.93,Safe
949,ASSAM,SONITPUR,BIHAGURI,BLOCK,56455.00,19749.93,15896.92,1157.70,7.28,Safe
950,ASSAM,SONITPUR,BISWANATH,BLOCK,21145.00,9001.10,8100.99,541.66,6.69,Safe
951,ASSAM,SONITPUR,CHAIDUAR,BLOCK,51322.00,15561.85,8224.38,1159.12,14.09,Safe
952,ASSAM,SONITPUR,CHATIA,BLOCK,41058.00,14464.47,12902.09,951.96,7.38,Safe
953,ASSAM,SONITPUR,DHEKIAJULI,BLOCK,71440.00,28916.81,24986.41,1791.84,7.17,Safe
954,ASSAM,SONITPUR,GABHARU,BLOCK,47011.00,15706.98,11223.06,1294.95,11.54,Safe
955,ASSAM,SONITPUR,NADUAR,BLOCK,25661.00,7928.37,6764.80,648.19,9.58,Safe
956,ASSAM,SONITPUR,PUB-CHAIDUAR,BLOCK,25661.00,9185.18,3463.90,718.07,20.73,Safe
957,ASSAM,SONITPUR,RANGAPARA,BLOCK,15397.00,5389.69,4082.69,545.28,13.36,Safe
958,ASSAM,SONITPUR,SAKOMATHA,BLOCK,18271.00,6713.40,6042.06,494.14,8.18,Safe
959,ASSAM,TINSUKIA,GUIJAN,BLOCK,33458.00,13787.09,12139.82,655.24,5.40,Safe
960,ASSAM,TINSUKIA,HAPJAN,BLOCK,66879.00,27813.60,24326.89,1291.09,5.31,Safe
961,ASSAM,TINSUKIA,ITAKHULI,BLOCK,18551.00,7713.29,6908.42,726.74,10.52,Safe
962,ASSAM,TINSUKIA,KAKOPATHAR,BLOCK,33235.00,15601.99,12912.63,887.46,6.87,Safe
963,ASSAM,TINSUKIA,MARGHERITA,BLOCK,96954.00,40369.97,35185.22,1404.58,3.99,Safe
964,ASSAM,TINSUKIA,SADIYA,BLOCK,89222.00,37114.21,25811.58,1072.70,4.16,Safe
965,ASSAM,TINSUKIA,SAIKHOWA,BLOCK,33458.00,13917.69,11212.38,431.95,3.85,Safe
966,ASSAM,UDALGURI,BARCHALA,BLOCK,7366.22,2551.38,2296.25,193.80,8.44,Safe
967,ASSAM,UDALGURI,BECHIMARI (PART),BLOCK,6145.19,2128.99,1916.09,193.71,10.11,Safe
968,ASSAM,UDALGURI,BHERGAON,BLOCK,46038.87,18126.89,15542.35,1421.31,9.14,Safe
969,ASSAM,UDALGURI,KALAIGAON (PART),BLOCK,16614.03,5772.81,2930.79,560.02,19.11,Safe
970,ASSAM,UDALGURI,KHOIRABARI (PART),BLOCK,8607.27,2981.94,2683.74,275.35,10.26,Safe
971,ASSAM,UDALGURI,MAJBAT,BLOCK,39973.75,12033.13,6177.59,1165.88,18.87,Safe
972,ASSAM,UDALGURI,PACHIM-MANGALDAI,BLOCK,200.17,69.36,62.43,7.65,12.25,Safe
973,ASSAM,UDALGURI,PUB-MANGALDAI (PART),BLOCK,3803.21,1317.59,1185.83,110.13,9.29,Safe
974,ASSAM,UDALGURI,ROWTA,BLOCK,11870.02,3650.92,1740.09,429.81,24.70,Safe
