Sl. No,State,District,Assessment Unit  Name,Assessment Unit Type,Recharge Worthy Area(Ha),Total Annual  Ground Water (Ham) Recharge,Annual Extractable Ground Water Resource  (Ham),Total  Ground Water Extraction  (Ham),Stage of Ground Water  Extraction (%),Categorization
44,ANDHRA PRADESH,Anakapalli,ANAKAPALLE,BLOCK,17373.00,3959.16,3761.17,1106.14,29.41,Safe
45,ANDHRA PRADESH,Anakapalli,ATCHUTAPURAM,BLOCK,14200.00,2129.42,2022.93,854.95,42.26,Safe
46,ANDHRA PRADESH,Anakapalli,BUTCHAYYAPETA,BLOCK,16745.00,3583.69,3404.52,990.63,29.10,Safe
47,ANDHRA PRADESH,Anakapalli,CHEEDIKADA,BLOCK,11658.00,3454.83,3282.10,974.49,29.69,Safe
48,ANDHRA PRADESH,Anakapalli,KASIMKOTA,BLOCK,15459.00,3249.16,3086.70,1499.77,48.59,Safe
49,ANDHRA PRADESH,Anakapalli,KOTAURATLA,BLOCK,14330.00,3122.18,2966.09,1019.33,34.37,Safe
50,ANDHRA PRADESH,Anakapalli,MADUGULA,BLOCK,18463.66,5451.92,5179.23,1728.51,33.37,Safe
51,ANDHRA PRADESH,Anakapalli,MUNAGAPAKA,BLOCK,9300.00,1736.23,1649.41,964.00,58.45,Safe
52,ANDHRA PRADESH,Anakapalli,NAKKAPALLE,BLOCK,19684.00,4408.09,4187.71,754.32,18.01,Safe
53,ANDHRA PRADESH,Anakapalli,PAYAKARAOPETA,BLOCK,10822.00,3246.66,3084.31,1045.81,33.91,Safe
54,ANDHRA PRADESH,Anakapalli,S RAYAVARAM,BLOCK,16528.00,4369.15,4150.70,1196.67,28.83,Safe
55,ANDHRA PRADESH,Anakapalli,SABBAVARAM,BLOCK,17179.00,3310.53,3144.97,851.82,27.09,Safe
56,ANDHRA PRADESH,Ananthapuramu,YADIKI,BLOCK,25687.00,3391.16,3221.62,1313.62,40.78,Safe
57,ANDHRA PRADESH,Ananthapuramu,ANANTAPUR RURAL,BLOCK,26151.00,3091.56,2936.98,568.34,19.35,Safe
58,ANDHRA PRADESH,Ananthapuramu,RAYADURG,BLOCK,32061.00,3675.82,3492.00,1331.92,38.14,Safe
59,ANDHRA PRADESH,Ananthapuramu,VAJRAKARUR,BLOCK,36916.00,4582.77,4353.62,735.37,16.89,Safe
60,ANDHRA PRADESH,Ananthapuramu,BRAHMASAMUDRAM,BLOCK,27256.00,4147.81,3940.39,1157.51,29.38,Safe
61,ANDHRA PRADESH,Ananthapuramu,SINGANAMALA,BLOCK,27654.00,4889.45,4644.96,1483.57,31.94,Safe
62,ANDHRA PRADESH,Ananthapuramu,D HIRCHAL,BLOCK,27582.00,4111.61,3906.04,1476.37,37.80,Safe
63,ANDHRA PRADESH,Ananthapuramu,GUNTAKAL,BLOCK,42648.00,3465.16,3291.85,1326.92,40.31,Safe
64,ANDHRA PRADESH,Ananthapuramu,GOOTY,BLOCK,30299.00,3624.18,3442.99,786.90,22.86,Safe
65,ANDHRA PRADESH,Ananthapuramu,PEDDAVADUGUR,BLOCK,23398.33,2905.96,2760.65,753.39,27.29,Safe
66,ANDHRA PRADESH,Ananthapuramu,KUDAIR,BLOCK,31746.00,3277.63,3113.73,1617.41,51.94,Safe
67,ANDHRA PRADESH,Ananthapuramu,YELLANUR,BLOCK,27311.00,3337.13,3170.26,2072.65,65.38,Safe
68,ANDHRA PRADESH,Ananthapuramu,SETTUR,BLOCK,28864.00,2790.79,2651.24,824.30,31.09,Safe
69,ANDHRA PRADESH,Ananthapuramu,TADPATRI,BLOCK,44107.00,4838.69,4596.74,2574.29,56.00,Safe
70,ANDHRA PRADESH,Ananthapuramu,GARLADINNE,BLOCK,24039.00,4113.40,3907.76,2579.26,66.00,Safe
71,ANDHRA PRADESH,Ananthapuramu,ANANTAPUR URBAN,BLOCK,4751.00,554.39,526.68,141.21,26.81,Safe
72,ANDHRA PRADESH,Ananthapuramu,URAVAKONDA,BLOCK,40262.00,5070.46,4816.94,776.63,16.12,Safe
73,ANDHRA PRADESH,Ananthapuramu,PEDDAPAPPUR,BLOCK,21136.00,3254.00,3091.29,1651.75,53.43,Safe
74,ANDHRA PRADESH,Ananthapuramu,ATMAKUR,BLOCK,23430.00,2840.50,2698.45,1051.56,38.97,Safe
75,ANDHRA PRADESH,Ananthapuramu,BELUGUPPA,BLOCK,32086.00,3844.21,3652.03,1064.45,29.15,Safe
76,ANDHRA PRADESH,Ananthapuramu,BOMMANAHAL,BLOCK,27847.00,7141.46,6784.37,1080.66,15.93,Safe
77,ANDHRA PRADESH,Ananthapuramu,BUKKARAYASAMUDRAM,BLOCK,25092.00,3134.22,2977.53,1578.30,53.01,Safe
78,ANDHRA PRADESH,Ananthapuramu,GUMMAGATTA,BLOCK,22897.00,2630.90,2499.35,1399.70,56.00,Safe
79,ANDHRA PRADESH,Ananthapuramu,KALYANDURG,BLOCK,40283.00,5192.48,4932.87,1450.71,29.41,Safe
80,ANDHRA PRADESH,Ananthapuramu,KAMBADUR,BLOCK,38415.00,3538.96,3362.01,1110.49,33.03,Safe
81,ANDHRA PRADESH,Ananthapuramu,KANEKAL,BLOCK,50624.00,7702.60,7317.47,876.83,11.98,Safe
82,ANDHRA PRADESH,Ananthapuramu,KUNDURPI,BLOCK,24661.00,2770.88,2632.35,1157.79,43.98,Safe
83,ANDHRA PRADESH,Ananthapuramu,NARPALA,BLOCK,24873.00,3071.35,2917.75,2138.14,73.28,Semi Critical
84,ANDHRA PRADESH,Ananthapuramu,PAMIDI,BLOCK,24456.00,2801.18,2661.11,887.46,33.35,Safe
85,ANDHRA PRADESH,Ananthapuramu,PUTLUR,BLOCK,25475.00,3418.70,3247.78,2126.09,65.46,Safe
86,ANDHRA PRADESH,Ananthapuramu,RAPTADU,BLOCK,26815.00,3243.88,3081.69,1182.14,38.36,Safe
87,ANDHRA PRADESH,Ananthapuramu,VIDAPANAKAL,BLOCK,37657.00,5519.77,5243.79,650.70,12.41,Safe
88,ANDHRA PRADESH,Annamayya,OBULAVARIPALLE,BLOCK,18951.00,1863.99,1770.79,1025.53,57.91,Safe
89,ANDHRA PRADESH,Annamayya,RAJAMPET,BLOCK,28372.00,2032.85,1931.20,1261.15,65.30,Safe
90,ANDHRA PRADESH,Annamayya,GALIVEEDU,BLOCK,31487.00,3483.73,3309.54,744.69,22.50,Safe
91,ANDHRA PRADESH,Annamayya,PEDDAMANDYAM,BLOCK,22089.00,2617.61,2486.74,827.40,33.27,Safe
92,ANDHRA PRADESH,Annamayya,RAMASAMUDRAM,BLOCK,13382.00,3339.22,3172.26,1817.12,57.28,Safe
93,ANDHRA PRADESH,Annamayya,GURRAMKONDA,BLOCK,21118.00,3184.11,3024.91,1018.87,33.68,Safe
94,ANDHRA PRADESH,Annamayya,THAMBALLAPALLE,BLOCK,21771.00,3384.36,3215.13,1387.55,43.16,Safe
95,ANDHRA PRADESH,Annamayya,PULLAMPETA,BLOCK,16444.00,1332.68,1266.05,822.72,64.98,Safe
96,ANDHRA PRADESH,Annamayya,PEDDATHIPPASAMUDRA,BLOCK,26930.00,4094.01,3889.32,2112.55,54.32,Safe
97,ANDHRA PRADESH,Annamayya,CHITVEL,BLOCK,24964.00,1607.97,1527.59,1137.86,74.49,Semi Critical
98,ANDHRA PRADESH,Annamayya,LAKKIREDDIPALLE,BLOCK,20774.00,2562.66,2434.54,1119.14,45.97,Safe
99,ANDHRA PRADESH,Annamayya,KALIKIRI,BLOCK,17994.00,2540.87,2413.81,1292.53,53.55,Safe
100,ANDHRA PRADESH,Annamayya,KURABALAKOTA,BLOCK,15369.00,2493.79,2369.11,1237.67,52.24,Safe
101,ANDHRA PRADESH,Annamayya,MULAKALACHERUVU,BLOCK,18863.00,2481.41,2357.35,1200.80,50.94,Safe
102,ANDHRA PRADESH,Annamayya,B KOTHAKOTA,BLOCK,26354.00,2537.20,2410.31,1103.81,45.80,Safe
103,ANDHRA PRADESH,Annamayya,KALAKADA,BLOCK,22452.00,2639.16,2507.19,1297.81,51.76,Safe
104,ANDHRA PRADESH,Annamayya,KAMBHAMVARIPALLE,BLOCK,28851.00,3396.72,3226.88,1798.61,55.74,Safe
105,ANDHRA PRADESH,Annamayya,MANDAPALLE,BLOCK,27833.00,4899.33,4654.36,1738.88,37.36,Safe
106,ANDHRA PRADESH,Annamayya,NIMMANAPALLE,BLOCK,17424.00,3197.13,3037.27,1425.01,46.92,Safe
107,ANDHRA PRADESH,Annamayya,PILERU,BLOCK,16770.00,3999.86,3799.87,304.01,8.00,Safe
108,ANDHRA PRADESH,Annamayya,VALMIKIPURAM,BLOCK,28500.00,4847.94,4605.54,1558.71,33.84,Safe
109,ANDHRA PRADESH,Annamayya,CHINNAMANDEM,BLOCK,16294.00,1399.63,1329.64,1082.57,81.42,Semi Critical
110,ANDHRA PRADESH,Annamayya,KODUR,BLOCK,20038.00,1341.69,1274.58,568.01,44.56,Safe
111,ANDHRA PRADESH,Annamayya,NANDALUR,BLOCK,17548.00,1291.09,1226.52,503.86,41.08,Safe
112,ANDHRA PRADESH,Annamayya,PENAGALURU,BLOCK,27504.00,2160.03,2052.05,997.83,48.63,Safe
113,ANDHRA PRADESH,Annamayya,RAMAPURAM,BLOCK,17868.00,2644.57,2512.32,915.72,36.45,Safe
114,ANDHRA PRADESH,Annamayya,ROYACHOTI,BLOCK,21458.00,3307.90,3142.52,875.95,27.87,Safe
115,ANDHRA PRADESH,Annamayya,SAMBEPALLE,BLOCK,22641.00,3657.51,3474.65,1370.68,39.45,Safe
116,ANDHRA PRADESH,Annamayya,T SUNDUPALLE,BLOCK,26754.00,4738.89,4501.96,1983.41,44.06,Safe
117,ANDHRA PRADESH,Annamayya,VEERABALLE,BLOCK,29269.00,3492.40,3317.76,932.96,28.12,Safe
118,ANDHRA PRADESH,Bapatla,VETAPALEM,BLOCK,8728.00,1392.78,1323.14,479.75,36.26,Safe
119,ANDHRA PRADESH,Bapatla,KORISAPADU,BLOCK,14965.00,1600.05,1520.05,403.90,26.57,Safe
120,ANDHRA PRADESH,Bapatla,YEDDANAPUDI,BLOCK,10076.00,441.91,419.80,72.50,17.27,Safe
121,ANDHRA PRADESH,Bapatla,CHINAGANJAM,BLOCK,17188.00,2387.41,2268.04,265.87,11.72,Safe
122,ANDHRA PRADESH,Bapatla,VEMURU,BLOCK,10327.00,5965.90,5667.61,892.37,15.75,Safe
123,ANDHRA PRADESH,Bapatla,AMRUTHALUR,BLOCK,12439.00,2019.21,1918.25,438.74,22.87,Safe
124,ANDHRA PRADESH,Bapatla,BALLIKURUVA,BLOCK,21832.00,2930.35,2783.80,760.56,27.32,Safe
125,ANDHRA PRADESH,Bapatla,JANAKAVARAMPANGULU,BLOCK,16732.00,1317.04,1251.18,291.23,23.28,Safe
126,ANDHRA PRADESH,Bapatla,BAPATLA,BLOCK,24718.00,4435.08,4213.33,1863.47,44.23,Safe
127,ANDHRA PRADESH,Bapatla,BHATTIPROLU,BLOCK,9594.00,6727.19,6390.85,2026.04,31.70,Safe
128,ANDHRA PRADESH,Bapatla,CHERUKUPALLE,BLOCK,9696.00,5072.77,4819.12,1715.80,35.60,Safe
129,ANDHRA PRADESH,Bapatla,KARLAPALEM,BLOCK,12472.00,2842.60,2700.47,799.86,29.62,Safe
130,ANDHRA PRADESH,Bapatla,KOLLUR,BLOCK,10858.00,6837.84,6495.93,3209.07,49.40,Safe
131,ANDHRA PRADESH,Bapatla,NAGARAM,BLOCK,17138.00,4290.37,4075.86,153.89,3.78,Safe
132,ANDHRA PRADESH,Bapatla,NIZAMPATNAM,BLOCK,14706.00,995.14,945.39,156.74,16.58,Safe
133,ANDHRA PRADESH,Bapatla,PITTALAVANIPALEM,BLOCK,7515.00,3115.14,2959.39,526.86,17.80,Safe
134,ANDHRA PRADESH,Bapatla,REPALLE,BLOCK,24283.00,2195.80,2086.02,272.91,13.08,Safe
135,ANDHRA PRADESH,Bapatla,TSUNDUR,BLOCK,10989.00,6400.38,6080.36,1020.78,16.79,Safe
136,ANDHRA PRADESH,Bapatla,ADDANKI,BLOCK,25103.00,2991.66,2842.08,813.45,28.62,Safe
137,ANDHRA PRADESH,Bapatla,CHIRALA,BLOCK,10129.00,2132.79,2026.15,830.20,40.97,Safe
138,ANDHRA PRADESH,Bapatla,INKOLLU,BLOCK,14450.00,698.68,663.74,59.35,8.94,Safe
139,ANDHRA PRADESH,Bapatla,KARAMCHEDU,BLOCK,16225.00,0.00,0.00,0.00,,Salinity
140,ANDHRA PRADESH,Bapatla,MARTUR,BLOCK,17309.00,2098.78,1993.84,741.94,37.21,Safe
141,ANDHRA PRADESH,Bapatla,PARCHUR,BLOCK,22312.00,207.40,197.03,19.34,9.82,Safe
142,ANDHRA PRADESH,Bapatla,SANTHAMAGULURU,BLOCK,20334.00,1182.35,1123.23,441.47,39.30,Safe
143,ANDHRA PRADESH,Chittoor,YADAMARI,BLOCK,15417.00,1906.77,1811.41,952.50,52.58,Safe
144,ANDHRA PRADESH,Chittoor,NINDRA,BLOCK,8924.00,2592.52,2462.88,2174.64,88.30,Semi Critical
145,ANDHRA PRADESH,Chittoor,PENUMURU,BLOCK,11745.00,1976.94,1878.10,1352.95,72.04,Semi Critical
146,ANDHRA PRADESH,Chittoor,SODAM,BLOCK,19960.00,3021.62,2870.54,1400.03,48.77,Safe
147,ANDHRA PRADESH,Chittoor,KUPPAM,BLOCK,24805.50,3847.13,3654.79,2233.43,61.11,Safe
148,ANDHRA PRADESH,Chittoor,SRIRANGARAJAPURAM,BLOCK,11403.00,2657.88,2524.95,1667.44,66.04,Safe
149,ANDHRA PRADESH,Chittoor,PALAMANER,BLOCK,23396.00,1978.57,1879.65,766.02,40.75,Safe
150,ANDHRA PRADESH,Chittoor,BAIREDDI PALLE,BLOCK,20929.00,2957.83,2809.91,1742.15,62.00,Safe
151,ANDHRA PRADESH,Chittoor,PEDDA PANJANI,BLOCK,26093.00,3807.81,3617.43,2716.20,75.09,Semi Critical
152,ANDHRA PRADESH,Chittoor,VENKATAGIRI KOTA,BLOCK,22445.00,3696.78,3511.92,2719.96,77.45,Semi Critical
153,ANDHRA PRADESH,Chittoor,GUDI PALLE,BLOCK,13118.75,3172.92,3014.27,2341.64,77.69,Semi Critical
154,ANDHRA PRADESH,Chittoor,GANGAVARAM,BLOCK,22587.00,3029.53,2878.06,1577.98,54.83,Safe
155,ANDHRA PRADESH,Chittoor,BANGARUPALEM,BLOCK,38649.00,5111.15,4855.58,1713.28,35.28,Safe
156,ANDHRA PRADESH,Chittoor,VEDURU KUPPAM,BLOCK,22782.00,3713.15,3527.47,1694.14,48.03,Safe
157,ANDHRA PRADESH,Chittoor,CHITTOOR MANDAL,BLOCK,22238.00,2549.13,2421.69,1756.20,72.52,Semi Critical
158,ANDHRA PRADESH,Chittoor,PALASAMUDRAM,BLOCK,7420.00,1476.98,1403.13,764.82,54.51,Safe
159,ANDHRA PRADESH,Chittoor,VIJAYA PURAM,BLOCK,17991.00,3006.97,2856.62,1047.03,36.65,Safe
160,ANDHRA PRADESH,Chittoor,CHOWDEPALLE,BLOCK,22978.00,3271.04,3107.50,2497.94,80.38,Semi Critical
161,ANDHRA PRADESH,Chittoor,PUTHALAPATTU,BLOCK,15680.00,2749.98,2612.46,2233.82,85.51,Semi Critical
162,ANDHRA PRADESH,Chittoor,NAGARI,BLOCK,12880.00,2521.55,2395.43,1569.50,65.52,Safe
163,ANDHRA PRADESH,Chittoor,GANGADHARA NELLORE,BLOCK,19536.70,2901.04,2755.93,1546.44,56.11,Safe
164,ANDHRA PRADESH,Chittoor,RAMA KUPPAM,BLOCK,17576.00,2734.07,2597.34,1859.05,71.58,Semi Critical
165,ANDHRA PRADESH,Chittoor,SOMALA,BLOCK,33322.00,4325.62,4109.30,1269.35,30.89,Safe
166,ANDHRA PRADESH,Chittoor,SANTHI PURAM,BLOCK,16290.00,2527.20,2400.89,1621.56,67.54,Safe
167,ANDHRA PRADESH,Chittoor,IRALA,BLOCK,20009.00,2412.52,2291.87,804.38,35.10,Safe
168,ANDHRA PRADESH,Chittoor,PUNGANUR,BLOCK,29078.00,3406.85,3236.49,1908.83,58.98,Safe
169,ANDHRA PRADESH,Chittoor,THAVANAMPALLE,BLOCK,17339.00,2413.17,2292.47,1706.58,74.44,Semi Critical
170,ANDHRA PRADESH,Chittoor,GUDIPALA,BLOCK,16947.00,2125.79,2019.49,974.25,48.24,Safe
171,ANDHRA PRADESH,Chittoor,KARVETINAGAR,BLOCK,20913.00,3845.92,3653.63,1704.00,46.64,Safe
172,ANDHRA PRADESH,Chittoor,PULICHERLA,BLOCK,14056.00,2563.66,2435.48,1680.72,69.01,Safe
173,ANDHRA PRADESH,Chittoor,ROMPICHERLA,BLOCK,13943.00,2123.38,2017.20,907.02,44.96,Safe
174,ANDHRA PRADESH,East Godavari,CHAGALLU,BLOCK,11330.00,3336.40,3169.57,2277.98,71.87,Semi Critical
175,ANDHRA PRADESH,East Godavari,RANGAMPETA,BLOCK,14508.38,3175.54,3016.76,2236.85,74.15,Semi Critical
176,ANDHRA PRADESH,East Godavari,THALLAPUDI,BLOCK,9699.00,3006.39,2856.01,1159.70,40.61,Safe
